epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,109.69,1.29748,0.62759,1.36261,0.89944,0.83333,0.8986,0.51156,1.55079,0.73351,1.76223,0.000462281,0.000462281,0.000462281
43,111.575,1.23435,0.56517,1.28948,0.79887,0.98522,0.94601,0.52938,1.60152,0.65791,1.80994,0.000438703,0.000438703,0.000438703
44,113.544,1.23489,0.578,1.25513,0.83702,0.98752,0.95548,0.53678,1.65896,0.65125,1.86872,0.000415124,0.000415124,0.000415124
45,116.076,1.16812,0.56095,1.27012,0.82368,0.98897,0.95548,0.54835,1.65256,0.63941,1.88749,0.000391546,0.000391546,0.000391546
46,118.445,1.21273,0.58696,1.25849,0.84422,0.8988,0.94595,0.55856,1.63206,0.62995,1.87859,0.000367967,0.000367967,0.000367967
47,120.333,1.20849,0.52593,1.28836,0.91847,0.83333,0.93583,0.53646,1.64031,0.61838,1.86384,0.000344389,0.000344389,0.000344389
48,122.264,1.19019,0.51837,1.27232,0.84026,0.90298,0.94595,0.54492,1.63606,0.59771,1.80754,0.00032081,0.00032081,0.00032081
49,124.137,1.19984,0.56858,1.31869,0.85569,0.8979,0.94345,0.56183,1.64735,0.61125,1.78001,0.000297232,0.000297232,0.000297232
50,126.084,1.15614,0.52643,1.2761,0.87835,0.89704,0.94595,0.54274,1.64171,0.62547,1.76641,0.000273654,0.000273654,0.000273654
51,135.558,1.10415,0.47055,1.28156,0.80945,0.99076,0.94554,0.55806,1.61153,0.6268,1.76209,0.000250075,0.000250075,0.000250075
52,139.451,1.09877,0.49819,1.31818,0.80282,0.99155,0.95262,0.55499,1.57939,0.64298,1.75042,0.000226497,0.000226497,0.000226497
53,142.613,1.09784,0.45987,1.30549,0.79263,0.99257,0.95262,0.57368,1.53966,0.64611,1.71456,0.000202918,0.000202918,0.000202918
54,145.353,1.0806,0.43788,1.30413,0.9598,0.84645,0.96679,0.60495,1.52812,0.64907,1.70009,0.00017934,0.00017934,0.00017934
55,147.608,1.08546,0.46804,1.38392,0.95959,0.84496,0.96418,0.58493,1.51565,0.64594,1.69016,0.000155761,0.000155761,0.000155761
56,149.45,1.11265,0.49662,1.38263,0.78686,0.99245,0.95083,0.58523,1.51975,0.66537,1.69401,0.000132183,0.000132183,0.000132183
57,151.396,1.10044,0.44349,1.29087,0.79821,0.98669,0.95083,0.58529,1.52724,0.66594,1.70848,0.000108604,0.000108604,0.000108604
58,153.314,1.04259,0.41749,1.21548,0.80704,0.99377,0.95083,0.579,1.54632,0.67922,1.72942,8.50255e-05,8.50255e-05,8.50255e-05
59,156.055,1.0498,0.43437,1.28373,0.80665,0.98704,0.93667,0.57153,1.56477,0.69018,1.75047,6.1447e-05,6.1447e-05,6.1447e-05
60,158.114,0.9879,0.42021,1.19246,0.80331,0.9823,0.93667,0.57154,1.57576,0.69539,1.76081,3.78685e-05,3.78685e-05,3.78685e-05
